Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Zipties","Hold components(wires) togetherto frame",1,1.30,"https://www.aliexpress.com/item/3256807129781934.html?spm=a2g0o.cart.0.0.cb9a38daKtPezs&mp=1&pdp_npi=6%40dis%21USD%21USD%201.47%21USD%201.30%21%21USD%201.30%21%21%21%402101e2b617754913186622699e3565%2112000040564137095%21ct%21US%217516280209%21%211%210%21&_gl=1*1o9m3wr*_gcl_aw*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_au*MTY0NzU5ODU1Ny4xNzc1NDI3NDU5*_ga*MTU0MjkxNjM2NjEwMDA5Ni4xNzc1NDI3NDUyNjg4*_ga_VED1YSGNC7*czE3NzU0OTA0MDMkbzUkZzEkdDE3NzU0OTEzMTkkajU5JGwwJGgw","Aliexpress"
"14 Awg wire","Battery to PDB main power ",2,1.56,"https://www.aliexpress.us/item/3256801382642712.html?spm=a2g0o.productlist.main.7.3d8469c32cXu0k&algo_pvid=0765a602-5743-4f18-8a30-0275b2811fef&algo_exp_id=0765a602-5743-4f18-8a30-0275b2811fef-6&pdp_ext_f=%7B%22order%22%3A%2236629%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.77%212.13%21%21%212.77%212.13%21%40210328c017754911951031595e3e76%2112000029411871157%21sea%21US%217516280209%21ABX%211%210%21n_tag%3A-29910%3Bd%3A54324566%3Bm03_new_user%3A-29895&curPageLogUid=WltzJ5SEImxX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001568957464%7C_p_origin_prod%3A","Aliexpress"
"18awg wire","ESC to motor and PDB to ESC power wiring",1,3.69,"https://www.aliexpress.us/item/3256806280998161.html?spm=a2g0o.detail.0.0.6b9eBirjBirjZr&mp=1&pdp_npi=6%40dis%21USD%21USD%203.69%21USD%203.69%21%21USD%203.69%21%21%21%402101e2b617754910106364348e3565%2112000037884918185%21ct%21US%217516280209%21%211%210%21&_gl=1*y7z0wt*_gcl_aw*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_au*MTY0NzU5ODU1Ny4xNzc1NDI3NDU5*_ga*MTU0MjkxNjM2NjEwMDA5Ni4xNzc1NDI3NDUyNjg4*_ga_VED1YSGNC7*czE3NzU0OTA0MDMkbzUkZzEkdDE3NzU0OTEwMTAkajYwJGwwJGgw&gatewayAdapt=glo2usa","Aliexpress"
"ANT Lite 16 9","Camera Records and captures aerial photos",1,13.56,"https://www.aliexpress.us/item/3256805959299968.html?spm=a2g0o.detail.0.0.4e06o91so91sKv&mp=1&pdp_npi=6%40dis%21USD%21USD%2069.89%21USD%2013.56%21%21USD%2013.56%21%21%21%402101e2b617754908491458595e3565%2112000035965837401%21ct%21US%217516280209%21%211%210%21&_gl=1*19acu18*_gcl_aw*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_au*MTY0NzU5ODU1Ny4xNzc1NDI3NDU5*_ga*MTU0MjkxNjM2NjEwMDA5Ni4xNzc1NDI3NDUyNjg4*_ga_VED1YSGNC7*czE3NzU0OTA0MDMkbzUkZzEkdDE3NzU0OTA4NDgkajM1JGwwJGgw&gatewayAdapt=glo2usa","Aliexpress"
"UBEC 5V 3A ","Steps down battery voltage to regulated 5v",2,2.33,"https://www.aliexpress.us/item/3256803510775753.html?spm=a2g0o.detail.0.0.c61bNxFVNxFV85&mp=1&pdp_npi=6%40dis%21USD%21USD%204.75%21USD%202.33%21%21USD%202.33%21%21%21%402101e2b617754907483376787e3565%2112000026842876447%21ct%21US%217516280209%21%212%210%21&_gl=1*1nixihr*_gcl_aw*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzU0OTA4MjQuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajE4NE9YV0QyYV9DaGNUS0N1aVlGWDl0aFNRN1RTUGVvTVZ2bHNCcHI0Nkwxb1dKb21pRHF0MGFBdTBaRUFMd193Y0I.*_gcl_au*MTY0NzU5ODU1Ny4xNzc1NDI3NDU5*_ga*MTU0MjkxNjM2NjEwMDA5Ni4xNzc1NDI3NDUyNjg4*_ga_VED1YSGNC7*czE3NzU0OTA0MDMkbzUkZzEkdDE3NzU0OTA4MjgkajU1JGwwJGgw&gatewayAdapt=glo2usa","Aliexpress"
"4S 14.8V 3300 XT60","Battery",1,29.54,"https://www.aliexpress.us/item/3256801236381704.html?spm=a2g0o.detail.0.0.2498lHqHlHqHpw&mp=1&pdp_npi=6%40dis%21USD%21USD%2047.64%21USD%2029.54%21%21USD%2029.54%21%21%21%402101e2b617754906048363830e3565%2112000016056313431%21ct%21US%217516280209%21%211%210%21&_gl=1*3hkfwz*_gcl_aw*R0NMLjE3NzU0ODY5NzcuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajEtQk0tbkI2el8zUWlkOUtXNlIwdkJENHU2R1cweG9hQjRnS1NadlYzRzlBTGRUemxvenNnSWFBcWN5RUFMd193Y0I.*_gcl_dc*R0NMLjE3NzU0ODY5NzcuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajEtQk0tbkI2el8zUWlkOUtXNlIwdkJENHU2R1cweG9hQjRnS1NadlYzRzlBTGRUemxvenNnSWFBcWN5RUFMd193Y0I.*_gcl_au*MTY0NzU5ODU1Ny4xNzc1NDI3NDU5*_ga*MTU0MjkxNjM2NjEwMDA5Ni4xNzc1NDI3NDUyNjg4*_ga_VED1YSGNC7*czE3NzU0OTA0MDMkbzUkZzEkdDE3NzU0OTA2MDUkajIzJGwwJGgw&gatewayAdapt=glo2usa","Aliexpress"
"2212 920KV / CW CCW Brushless Motor 1045 Propeller & 30A ESC Brushless for F450 F550 F550 Multicopter","Drone Motors for propulsion, Props, and 30A esc to bring power",1,53.82,"https://www.aliexpress.us/item/3256806151021461.html?spm=a2g0o.detail.0.0.6c23DaYLDaYL4Q&mp=1&pdp_npi=6%40dis%21USD%21USD%2056.65%21USD%2053.82%21%21USD%2053.82%21%21%21%402101e2b617754905681883154e3565%2112000036807943742%21ct%21US%217516280209%21%211%210%21&_gl=1*1k6yxw5*_gcl_aw*R0NMLjE3NzU0ODY5NzcuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajEtQk0tbkI2el8zUWlkOUtXNlIwdkJENHU2R1cweG9hQjRnS1NadlYzRzlBTGRUemxvenNnSWFBcWN5RUFMd193Y0I.*_gcl_dc*R0NMLjE3NzU0ODY5NzcuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajEtQk0tbkI2el8zUWlkOUtXNlIwdkJENHU2R1cweG9hQjRnS1NadlYzRzlBTGRUemxvenNnSWFBcWN5RUFMd193Y0I.*_gcl_au*MTY0NzU5ODU1Ny4xNzc1NDI3NDU5*_ga*MTU0MjkxNjM2NjEwMDA5Ni4xNzc1NDI3NDUyNjg4*_ga_VED1YSGNC7*czE3NzU0OTA0MDMkbzUkZzEkdDE3NzU0OTA1OTQkajM0JGwwJGgw&gatewayAdapt=glo2usa","Aliexpress"
"RadioLink F722 Flight Controller","Main Controller of Drone(Brain of Drone)",1,44.39,"https://www.aliexpress.us/item/3256810466464630.html?spm=a2g0o.detail.0.0.4db9axUwaxUwdU&mp=1&pdp_npi=6%40dis%21USD%21USD%2064.33%21USD%2044.39%21%21USD%2044.39%21%21%21%402101e2b617754905252962293e3565%2112000053098610339%21ct%21US%217516280209%21%211%210%21&_gl=1*1tbgova*_gcl_aw*R0NMLjE3NzU0ODY5NzcuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajEtQk0tbkI2el8zUWlkOUtXNlIwdkJENHU2R1cweG9hQjRnS1NadlYzRzlBTGRUemxvenNnSWFBcWN5RUFMd193Y0I.*_gcl_dc*R0NMLjE3NzU0ODY5NzcuQ2owS0NRandzODNPQmhENEFSSXNBQ2JsajEtQk0tbkI2el8zUWlkOUtXNlIwdkJENHU2R1cweG9hQjRnS1NadlYzRzlBTGRUemxvenNnSWFBcWN5RUFMd193Y0I.*_gcl_au*MTY0NzU5ODU1Ny4xNzc1NDI3NDU5*_ga*MTU0MjkxNjM2NjEwMDA5Ni4xNzc1NDI3NDUyNjg4*_ga_VED1YSGNC7*czE3NzU0OTA0MDMkbzUkZzEkdDE3NzU0OTA1MjYkajIwJGwwJGgw&gatewayAdapt=glo2usa","AliExpress"
"F450 Frame Kit","Main Body of Drone ",1,25.23,"https://www.aliexpress.us/item/3256808523085351.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.e05fQEmjQEmjWB&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=2370e075-3625-47a5-b256-2c5888aafc9e&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:2370e075-3625-47a5-b256-2c5888aafc9e,tpp_buckets:668%232846%238113%231998&pdp_ext_f=%7B%22order%22%3A%2273%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%218.06%210.99%21%21%2155.18%216.76%21%402101e2b617754905139901987e3565%2112000049464948113%21rec%21US%217516280209%21ABX%211%210%21n_tag%3A-29910%3Bd%3A54324566%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008709400103%7C_p_origin_prod%3A","AliExpress"
